L 08/11/2018 - 17:35:40: SourceMod log file session started (file "L20180811.log") (Version "1.8.0.5912")
L 08/11/2018 - 17:35:40: -------- Mapchange to con_district402 --------
L 08/11/2018 - 17:35:40: [saysounds.smx] [Say Sounds] No specific game detected
L 08/11/2018 - 17:35:40: [security_entity_limit.smx] Security Entity Limit [SEL] Activate!
L 08/11/2018 - 17:35:40: [security_entity_limit.smx] [SEL]Current version: 0.5.4
Plugin made by Benoist3012!
L 08/11/2018 - 17:35:53: [security_entity_limit.smx] [SEL] 434 entities have been protected from deleting.This map contain 1614 free entity slot!
L 08/11/2018 - 17:48:03: [basecommands.smx] "Oktay<3><[U:1:116496292]><>" changed map to "emp_tropicvendetta_rc4"
L 08/11/2018 - 17:48:06: [SM] Changed map to "emp_tropicvendetta_rc4"
L 08/11/2018 - 17:48:07: -------- Mapchange to emp_tropicvendetta_rc4 --------
L 08/11/2018 - 17:48:18: [security_entity_limit.smx] [SEL] 396 entities have been protected from deleting.This map contain 1652 free entity slot!
L 08/11/2018 - 17:49:07: [saysounds.smx] [Say Sounds] Disabled, Unhooking Events
L 08/11/2018 - 17:49:07: [autorecorder.smx] Recording to auto-20180811-174907-emp_tropicvendetta_rc4.dem
L 08/11/2018 - 17:49:23: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:23: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:23: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:24: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:24: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:24: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:24: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:29: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:30: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
L 08/11/2018 - 17:49:30: [playercommands.smx] "Oktay<3><[U:1:116496292]><>" slapped "Oktay<3><[U:1:116496292]><>" (damage "0")
